date,close,buy_date,buy_close,sell_date,sell_close,sell_profit,profit_average
2019-06-12,34.76,2019-06-18,35.130001,2019-06-19,34.970001,-0.1599999999999966,-184.94000699999998
2019-06-13,35.24,2019-06-28,33.490002,2019-07-01,32.439999,-1.0500029999999967,-8.389999999999986
2019-06-14,34.53,2019-07-08,33.610001,2019-07-09,33.700001,0.09000000000000341,-52.950004
2019-06-17,35.14,2019-07-10,33.990002,2019-07-12,33.369999,-0.620002999999997,-21.369998999999996
2019-06-18,35.13,2019-07-11,33.310001,2019-07-18,32.950001,-0.35999999999999943,
2019-06-19,34.97,2019-07-15,33.689999,2019-07-29,33.040001,-0.6499980000000036,
2019-06-20,34.1,2019-07-24,33.34,2019-07-30,33.470001,0.13000100000000003,
2019-06-21,33.77,2019-07-25,33.09,2019-07-31,33.049999,-0.04000100000000373,
2019-06-24,32.94,2019-08-15,29.879999,2019-08-16,29.299999,-0.5800000000000018,
2019-06-25,32.73,2019-08-26,28.040001,2019-08-27,27.76,-0.2800009999999986,
2019-06-26,32.2,2019-09-03,28.559999,2019-09-04,28.9,0.34000099999999733,
2019-06-27,33.44,2019-09-19,32.330002,2019-09-25,32.049999,-0.28000300000000067,
2019-06-28,33.49,2019-09-20,32.419998,2019-09-30,31.59,-0.8299979999999998,
2019-07-01,32.44,2019-09-23,32.389999,2019-10-01,30.09,-2.2999990000000032,
2019-07-02,33.22,2019-09-26,32.240002,2019-10-02,29.4,-2.8400019999999984,
2019-07-03,33.27,2019-10-10,27.51,2019-10-11,27.98,0.46999999999999886,
2019-07-05,33.28,2019-10-14,27.629999,2019-10-15,27.389999,-0.240000000000002,
2019-07-08,33.61,2019-10-16,27.440001,2019-10-17,27.610001,0.1700000000000017,
2019-07-09,33.7,2019-10-22,29.23,2019-10-23,28.940001,-0.28999900000000167,
2019-07-10,33.99,2019-11-14,27.6,2019-11-15,27.799999,0.19999899999999826,
2019-07-11,33.31,2019-11-19,27.209999,2019-11-27,27.02,-0.18999900000000025,
2019-07-12,33.37,2019-11-20,26.42,2019-12-02,26.51,0.08999999999999986,
2019-07-15,33.69,2019-11-21,25.940001,2019-12-03,26.51,0.5699990000000028,
2019-07-16,33.65,2019-11-22,25.860001,2019-12-06,27.17,1.3099990000000012,
2019-07-17,32.79,2019-11-25,26.57,2019-12-10,27.219999,0.6499990000000011,
2019-07-18,32.95,2019-11-26,26.709999,2019-12-13,26.049999,-0.6600000000000001,
2019-07-19,32.26,2019-11-29,26.93,2019-12-16,26.200001,-0.7299989999999994,
2019-07-22,32.03,2019-12-04,26.93,2019-12-17,25.950001,-0.9799989999999994,
2019-07-23,32.83,2019-12-05,26.74,2019-12-19,27.27,0.5300000000000011,
2019-07-24,33.34,2019-12-09,27.51,2019-12-27,26.5,-1.0100000000000016,
2019-07-25,33.09,2019-12-11,26.629999,2019-12-30,26.27,-0.35999900000000196,
2019-07-26,32.77,2019-12-18,26.59,2019-12-31,26.92,0.33000000000000185,
2019-07-29,33.04,2019-12-20,26.469999,2020-01-02,25.93,-0.5399990000000017,
2019-07-30,33.47,2019-12-23,26.030001,2020-01-03,25.85,-0.1800009999999972,
2019-07-31,33.05,2019-12-24,26.370001,2020-01-16,25.940001,-0.4299999999999997,
2019-08-01,32.26,2019-12-26,26.299999,2020-01-24,25.0,-1.2999989999999997,
2019-08-02,32.37,2020-01-06,25.959999,2020-01-30,22.969999,-2.9899999999999984,
2019-08-05,31.25,2020-01-07,25.85,2020-01-31,22.309999,-3.540001,
2019-08-06,30.93,2020-01-08,26.0,2020-02-18,23.530001,-2.4699990000000014,
2019-08-07,31.09,2020-01-09,25.24,2020-02-24,22.9,-2.34,
2019-08-08,30.98,2020-01-10,25.01,2020-03-09,16.469999,-8.540001,
2019-08-09,30.5,2020-01-13,25.25,2020-03-27,6.18,-19.07,
2019-08-12,30.39,2020-01-21,26.16,2020-04-14,8.79,-17.37,
2019-08-13,30.44,2020-01-22,25.620001,2020-04-15,7.71,-17.910000999999998,
2019-08-14,29.91,2020-01-23,25.690001,2020-04-21,6.02,-19.670001,
2019-08-15,29.88,2020-01-27,24.0,2020-05-18,7.23,-16.77,
2019-08-16,29.3,2020-01-28,23.77,2020-05-20,7.38,-16.39,
2019-08-19,29.09,2020-01-29,23.719999,2020-05-21,7.36,-16.359999000000002,
2019-08-20,28.0,2020-02-03,22.84,2020-05-29,6.81,-16.03,
2019-08-21,27.67,2020-02-04,24.110001,2020-06-10,10.64,-13.470001,
2019-08-22,28.86,2020-02-07,23.360001,,,,
2019-08-23,27.88,2020-02-10,26.0,,,,
2019-08-26,28.04,2020-02-11,24.23,,,,
2019-08-27,27.76,2020-02-12,23.24,,,,
2019-08-28,28.28,2020-02-14,22.84,,,,
2019-08-29,28.2,2020-02-20,23.440001,,,,
2019-08-30,28.53,2020-02-21,23.700001,,,,
2019-09-03,28.56,2020-02-25,22.129999,,,,
2019-09-04,28.9,2020-02-26,21.43,,,,
2019-09-05,29.8,2020-02-27,21.370001,,,,
2019-09-06,30.2,2020-02-28,20.42,,,,
2019-09-09,31.75,2020-03-02,20.360001,,,,
2019-09-10,33.66,2020-03-03,20.620001,,,,
2019-09-11,33.89,2020-03-05,20.33,,,,
2019-09-12,33.33,2020-03-06,19.43,,,,
2019-09-13,33.23,2020-03-10,17.41,,,,
2019-09-16,33.33,2020-03-11,15.37,,,,
2019-09-17,32.27,2020-03-12,13.65,,,,
2019-09-18,32.31,2020-03-16,9.66,,,,
2019-09-19,32.33,2020-03-17,9.01,,,,
2019-09-20,32.42,2020-03-18,6.63,,,,
2019-09-23,32.39,2020-03-20,7.37,,,,
2019-09-24,31.63,2020-03-24,7.46,,,,
2019-09-25,32.05,2020-03-25,7.73,,,,
2019-09-26,32.24,2020-03-26,6.9,,,,
2019-09-27,32.31,2020-03-30,6.01,,,,
2019-09-30,31.59,2020-03-31,5.63,,,,
2019-10-01,30.09,2020-04-01,5.57,,,,
2019-10-02,29.4,2020-04-03,5.06,,,,
2019-10-03,29.28,2020-04-07,7.35,,,,
2019-10-04,29.01,2020-04-09,9.42,,,,
2019-10-07,28.74,2020-04-13,8.77,,,,
2019-10-08,27.68,2020-04-16,6.52,,,,
2019-10-09,27.64,2020-04-17,6.97,,,,
